Date,Price,Open,High,Low,Vol.,Change%
07/03/2003,98.74,99.07,99.85,97.9,30.87M,-1.03%
07/02/2003,99.77,98.77,99.79,98.57,34.68M,1.26%
07/01/2003,98.53,97.25,98.85,96.43,51.42M,0.92%
06/30/2003,97.63,98.22,98.67,97.47,33.87M,-0.03%
06/27/2003,97.66,98.75,99.19,97.58,54.22M,-1.15%
06/26/2003,98.8,97.78,98.98,96.96,33.55M,1.30%
06/25/2003,97.53,98.53,99.44,97.53,47.86M,-1.00%
06/24/2003,98.52,98.22,99.06,98.02,36.24M,0.10%
06/23/2003,98.42,99.45,99.66,97.92,34.34M,-1.03%
06/20/2003,99.44,100.39,100.5,99.42,41.55M,-0.58%
06/19/2003,100.02,101.64,101.73,99.84,43.57M,-1.53%
06/18/2003,101.57,101.29,102.14,101.0,35.55M,-0.09%
06/17/2003,101.66,102.07,102.18,101.23,36.82M,0.00%
06/16/2003,101.66,99.96,101.7,99.8,36.42M,2.11%
06/13/2003,99.56,100.61,100.75,98.95,48.64M,-1.04%
06/12/2003,100.61,100.75,100.9,99.62,36.49M,0.31%
06/11/2003,100.3,99.16,100.39,98.71,37.64M,1.06%
06/10/2003,99.25,98.46,99.26,98.19,30.12M,1.02%
06/09/2003,98.25,98.77,99.1,97.77,38.40M,-1.02%
06/06/2003,99.26,100.4,101.4,99.13,60.40M,-0.39%
06/05/2003,99.65,98.58,99.65,98.27,46.43M,0.49%
06/04/2003,99.16,97.66,99.35,97.57,49.44M,1.44%
06/03/2003,97.75,97.15,97.84,96.85,39.56M,0.41%
06/02/2003,97.35,97.53,98.45,96.67,50.71M,0.41%
05/30/2003,96.95,95.9,97.09,95.56,52.55M,1.60%
05/29/2003,95.42,95.88,96.82,95.08,50.97M,-0.26%
05/28/2003,95.67,95.85,96.47,95.43,37.75M,0.28%
05/27/2003,95.4,93.3,95.84,93.18,43.74M,1.75%
05/23/2003,93.76,93.53,93.98,93.14,26.16M,0.20%
05/22/2003,93.57,92.95,94.05,92.68,38.46M,0.99%
05/21/2003,92.65,92.11,92.88,91.91,49.86M,0.21%
05/20/2003,92.46,92.82,93.03,91.6,55.46M,-0.21%
05/19/2003,92.65,94.15,94.89,92.33,43.24M,-2.34%
05/16/2003,94.87,94.89,95.45,94.26,38.91M,-0.25%
05/15/2003,95.11,94.89,95.33,94.25,43.94M,0.63%
05/14/2003,94.51,95.09,95.24,93.91,32.24M,-0.21%
05/13/2003,94.71,94.53,95.19,94.26,39.30M,-0.18%
05/12/2003,94.88,93.5,95.12,93.28,35.69M,1.23%
05/09/2003,93.73,92.83,93.8,92.61,33.65M,1.38%
05/08/2003,92.45,92.52,93.34,92.28,40.77M,-1.01%
05/07/2003,93.39,93.42,94.14,92.97,41.44M,-0.55%
05/06/2003,93.91,93.04,94.38,93.0,44.59M,0.95%
05/05/2003,93.03,93.47,93.78,92.5,35.46M,-0.19%
05/02/2003,93.21,91.56,93.47,91.49,50.24M,1.43%
05/01/2003,91.9,91.92,92.73,90.5,50.42M,-0.01%
04/30/2003,91.91,91.91,92.57,91.41,48.92M,-0.22%
04/29/2003,92.11,92.14,92.8,91.4,52.35M,0.35%
04/28/2003,91.79,90.44,92.19,90.3,46.47M,1.73%
04/25/2003,90.23,91.3,91.47,90.02,43.93M,-1.24%
04/24/2003,91.36,91.53,92.08,90.96,50.04M,-0.89%
04/23/2003,92.18,91.62,92.35,91.24,44.25M,0.92%
04/22/2003,91.34,89.1,91.56,88.89,59.87M,1.89%
04/21/2003,89.65,89.86,90.16,89.06,32.09M,0.10%
04/17/2003,89.56,88.3,89.72,88.19,37.49M,1.48%
04/16/2003,88.25,89.91,90.07,88.03,51.82M,-1.70%
04/15/2003,89.78,88.84,89.78,88.42,49.99M,0.93%
04/14/2003,88.95,87.47,89.0,87.0,36.97M,2.07%
04/11/2003,87.15,88.16,88.7,86.86,47.74M,-0.41%
04/10/2003,87.51,87.09,87.63,86.54,42.16M,0.55%
04/09/2003,87.03,88.36,89.1,86.77,55.69M,-1.32%
04/08/2003,88.19,88.3,88.65,87.71,39.75M,0.16%
04/07/2003,88.05,90.34,90.85,87.97,69.83M,-0.19%
04/04/2003,88.22,88.43,88.59,87.62,36.26M,0.59%
04/03/2003,87.7,88.87,88.99,87.65,49.03M,-0.48%
04/02/2003,88.12,87.54,88.77,87.5,50.51M,2.42%
04/01/2003,86.04,85.25,86.39,84.91,53.91M,1.53%
03/31/2003,84.74,85.35,86.59,84.4,60.80M,-2.27%
03/28/2003,86.71,86.47,87.28,86.25,32.60M,-0.50%
03/27/2003,87.15,86.4,87.66,85.99,53.29M,0.08%
03/26/2003,87.08,87.56,87.85,86.8,45.77M,-0.50%
03/25/2003,87.52,86.74,88.26,86.44,61.19M,0.96%
03/24/2003,86.69,88.02,88.14,86.35,65.43M,-3.32%
03/21/2003,89.67,88.8,89.88,87.93,71.27M,1.72%
03/20/2003,88.15,87.33,88.59,86.35,67.48M,0.22%
03/19/2003,87.96,87.28,88.16,86.68,49.67M,0.77%
03/18/2003,87.29,87.15,87.35,86.28,51.09M,0.59%
03/17/2003,86.78,83.46,86.95,83.22,88.32M,3.15%
03/14/2003,84.13,84.2,84.77,83.35,63.97M,0.32%
03/13/2003,83.86,82.18,83.91,81.53,72.20M,3.45%
03/12/2003,81.06,80.38,81.1,79.38,62.48M,0.67%
03/11/2003,80.52,81.48,82.0,80.48,48.13M,-0.98%
03/10/2003,81.32,82.6,82.86,81.1,41.08M,-2.40%
03/07/2003,83.32,81.61,83.99,81.43,63.58M,0.69%
03/06/2003,82.75,82.87,83.52,82.47,41.47M,-0.84%
03/05/2003,83.45,82.61,83.54,82.36,44.11M,0.85%
03/04/2003,82.75,83.95,84.01,82.65,31.48M,-1.59%
03/03/2003,84.09,85.26,85.78,83.72,42.94M,-0.95%
02/28/2003,84.9,84.47,85.23,84.16,43.89M,0.66%
02/27/2003,84.34,83.7,84.75,83.16,51.83M,1.32%
02/26/2003,83.24,84.02,84.53,83.08,37.81M,-1.46%
02/25/2003,84.47,82.95,84.49,82.22,56.93M,0.80%
02/24/2003,83.8,84.93,85.0,83.59,30.70M,-1.62%
02/21/2003,85.18,84.38,85.74,83.46,60.97M,1.01%
02/20/2003,84.33,85.21,85.42,84.05,29.30M,-1.00%
02/19/2003,85.18,85.32,85.47,84.28,31.44M,-0.53%
02/18/2003,85.63,84.53,85.8,84.39,39.53M,1.76%
02/14/2003,84.15,82.37,84.2,81.83,59.59M,2.19%
02/13/2003,82.35,82.15,82.66,81.0,58.07M,0.30%
02/12/2003,82.1,83.16,83.62,82.09,35.93M,-1.59%
02/11/2003,83.43,84.37,84.71,82.83,46.89M,-0.69%
02/10/2003,84.01,83.47,84.13,82.65,45.48M,0.71%
02/07/2003,83.42,84.91,84.99,82.97,43.17M,-1.22%
02/06/2003,84.45,84.37,84.89,83.65,53.66M,-0.47%
02/05/2003,84.85,85.75,86.54,84.49,55.30M,-0.62%
02/04/2003,85.38,85.31,85.75,84.3,43.76M,-0.99%
02/03/2003,86.23,86.14,86.82,85.92,39.80M,0.20%
01/31/2003,86.06,84.15,86.22,84.15,55.32M,1.93%
01/30/2003,84.43,86.79,86.88,84.4,49.89M,-2.37%
01/29/2003,86.48,85.44,87.18,84.77,53.78M,0.76%
01/28/2003,85.83,85.63,86.4,85.13,46.97M,0.74%
01/27/2003,85.2,85.73,86.8,84.5,58.30M,-1.37%
01/24/2003,86.38,88.59,88.68,86.17,68.70M,-2.63%
01/23/2003,88.71,88.75,89.38,87.95,56.08M,0.61%
01/22/2003,88.17,88.77,89.32,88.0,42.82M,-1.21%
01/21/2003,89.25,90.87,90.92,88.95,42.38M,-1.56%
01/17/2003,90.66,90.99,92.3,90.15,35.62M,-1.48%
01/16/2003,92.02,92.5,92.93,91.45,45.38M,-0.41%
01/15/2003,92.4,93.54,93.57,91.91,33.54M,-1.00%
01/14/2003,93.33,92.69,93.83,92.41,30.92M,0.32%
01/13/2003,93.03,93.54,93.86,92.44,31.68M,-0.03%
01/10/2003,93.06,91.95,93.64,91.8,37.77M,0.27%
01/09/2003,92.81,91.82,93.18,91.41,34.86M,1.55%
01/08/2003,91.39,92.2,92.4,91.05,38.74M,-1.45%
01/07/2003,92.73,92.9,93.37,92.2,38.66M,-0.25%
01/06/2003,92.96,91.24,93.49,91.18,41.01M,1.76%
01/03/2003,91.35,90.91,91.39,90.5,32.23M,0.31%
01/02/2003,91.07,88.85,91.3,88.54,44.65M,3.22%
12/31/2002,88.23,87.99,88.43,87.11,34.04M,0.14%
12/30/2002,88.11,87.8,88.47,87.22,29.97M,0.84%
12/27/2002,87.38,88.96,89.29,87.38,22.21M,-2.25%
12/26/2002,89.39,89.7,90.61,88.84,17.49M,0.03%
12/24/2002,89.36,89.59,89.86,89.25,10.94M,-0.73%
12/23/2002,90.02,89.59,90.47,89.31,22.65M,0.03%
12/20/2002,89.99,89.2,90.02,89.1,31.18M,0.93%
12/19/2002,89.16,89.35,90.7,88.6,39.29M,-0.71%
12/18/2002,89.8,90.32,90.4,89.33,35.65M,-1.16%
12/17/2002,90.85,91.37,91.74,90.74,32.41M,-0.87%
12/16/2002,91.65,89.82,91.79,89.66,37.12M,2.59%
12/13/2002,89.34,89.91,90.48,89.27,36.88M,-1.58%
